PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	"Decuyper, Mathieu; Slim, Pieter A.; Van Loon-Steensma, Jantsje M."								Dendrochronology of Atriplex portulacoides and Artemisia maritima in Wadden Sea salt marshes								JOURNAL OF COASTAL CONSERVATION				18	3			279	284		10.1007/s11852-014-0317-0			Jun-14	2014										3							WOS:000336739500012	
J	"Mendez-Toribio, Moises; Maria Gonzalez-Di Pierro, Ana; Quesada, Mauricio; Benitez-Malvido, Julieta"								Regeneration beneath a dioecious tree species (Spondias purpurea) in a Mexican tropical dry forest								JOURNAL OF TROPICAL ECOLOGY				30				265	268		10.1017/S0266467414000066			May-14	2014										1							WOS:000337762600010	
J	"Li, X.; Jiang, D.; Zhou, Q.; Oshida, T."								SOIL SEED BANK CHARACTERISTICS BENEATH AN AGE SEQUENCE OF CARAGANA MICROPHYLLA SHRUBS IN THE HORQIN SANDY LAND REGION OF NORTHEASTERN CHINA								LAND DEGRADATION & DEVELOPMENT				25	3			236	243		10.1002/ldr.2135			MAY-JUN 2014	2014										8							WOS:000337566000004	
J	"Senfeldr, Martin; Treml, Vaclav; Madera, Petr; Volarik, Daniel"								"Effects of Prostrate Dwarf Pine on Norway Spruce Clonal Groups in the Treeline Ecotone of the Hruby Jesenik Mountains, Czech Republic"								ARCTIC ANTARCTIC AND ALPINE RESEARCH				46	2			430	440		10.1657/1938-4246-46.2.430			May-14	2014										12							WOS:000336778500013	
J	"Soliveres, Santiago; Eldridge, David J."								Do changes in grazing pressure and the degree of shrub encroachment alter the effects of individual shrubs on understorey plant communities and soil function?								FUNCTIONAL ECOLOGY				28	2			530	537		10.1111/1365-2435.12196			Apr-14	2014										12							WOS:000332777500026	
J	"Peters, Debra P. C.; Yao, Jin; Browning, Dawn; Rango, Albert"								Mechanisms of grass response in grasslands and shrublands during dry or wet periods								OECOLOGIA				174	4			1323	1334		10.1007/s00442-013-2837-y			Apr-14	2014										20							WOS:000333171400025	
J	"Ansley, R. J.; Boutton, T. W.; Jacoby, P. W."								Root Biomass and Distribution Patterns in a Semi-Arid Mesquite Savanna: Responses to Long-Term Rainfall Manipulation								RANGELAND ECOLOGY & MANAGEMENT				67	2			206	218		10.2111/REM-D-13-00119.1			Mar-14	2014										8							WOS:000333232600010	
J	"Smith, Adam D.; McWilliams, Scott R."								"Fruit removal rate depends on neighborhood fruit density, frugivore abundance, and spatial context"								OECOLOGIA				174	3			931	942		10.1007/s00442-013-2834-1			Mar-14	2014										13							WOS:000332002300029	
J	"Mullah, Collins Jared Amwatta; Klanderud, Kari; Totland, Orjan; Kigomo, Bernard"								Relationships between the density of two potential restoration tree species and plant species abundance and richness in a degraded Afromontane forest of Kenya								AFRICAN JOURNAL OF ECOLOGY				52	1			77	87		10.1111/aje.12095			Mar-14	2014										2							WOS:000331192100009	
J	"Porensky, Lauren M.; Leger, Elizabeth A.; Davison, Jay; Miller, W. Wally; Goergen, Erin M.; Espeland, Erin K.; Carroll-Moore, Erin M."								"Arid old-field restoration: Native perennial grasses suppress weeds and erosion, but also suppress native shrubs"								AGRICULTURE ECOSYSTEMS & ENVIRONMENT				184				135	144		10.1016/j.agee.2013.11.026			FEB 1 2014	2014										15							WOS:000334002700014	
J	"He, Yuhui; Liu, Xinping; Xie, Zhongkui"								SHRUB EFFECTS ON HERBACEOUS VEGETATION VARY WITH GROWTH STAGES AND HERB RELATIVE LOCATION								POLISH JOURNAL OF ECOLOGY				62	3			421	429		10.3161/104.062.0304			2014	2014										2							WOS:000342335100003	
J	"Walker, Susan; Wilson, Deborah J.; Norbury, Grant; Monks, Adrian; Tanentzap, Andrew J."								Complementarity of indigenous flora in shrublands and grasslands in a New Zealand bland landscape								NEW ZEALAND JOURNAL OF ECOLOGY				38	2			230	241					2014	2014										2							WOS:000339134100007	
J	"Carlo, Tomas A.; Tewksbury, Joshua J."								Directness and tempo of avian seed dispersal increases emergence of wild chiltepins in desert grasslands								JOURNAL OF ECOLOGY				102	1			248	255		10.1111/1365-2745.12180			Jan-14	2014										23							WOS:000328555600027	
J	"Azihou, Akomian Fortune; Kakai, Romain Glele; Sinsin, Brice"								Do isolated gallery-forest trees facilitate recruitment of forest seedlings and saplings in savannna?								ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY				53				11	18		10.1016/j.actao.2013.08.001			Nov-13	2013										6							WOS:000327806600002	
J	"Ansley, R. J.; Mirik, M.; Heaton, C. B.; Wu, X. B."								Woody Cover and Grass Production in a Mesquite Savanna: Geospatial Relationships and Precipitation								RANGELAND ECOLOGY & MANAGEMENT				66	6			621	633		10.2111/REM-D-13-00083.1			Nov-13	2013										6							WOS:000327365300002	
J	"Sotes, Gaston J.; Bustamante, Ramiro O.; Henriquez, Carolina A."								"Seedling distribution and seed germination of chilean lucumo (Pouteria splendens) in Los Molles, Chile"								REVISTA CHILENA DE HISTORIA NATURAL				86	3			337	344		10.4067/S0716-078X2013000300010			Sep-13	2013										2							WOS:000325442400010	
J	"Angelica Gomez-Ruiz, Pilar; Lindig-Cisneros, Roberto; Vargas-Rios, Orlando"								"Facilitation among plants: A strategy for the ecological restoration of the high-andean forest (Bogota, DC-Colombia)"								ECOLOGICAL ENGINEERING				57				267	275		10.1016/j.ecoleng.2013.04.049			Aug-13	2013										7							WOS:000323156700032	
J	"Garcia-Fayos, Patricio; Engelbrecht, Meike; Bochet, Esther"								"Post-dispersal seed anchorage to soil in semiarid plant communities, a test of the hypothesis of Ellner and Shmida"								PLANT ECOLOGY				214	7			941	952		10.1007/s11258-013-0220-z			Jul-13	2013										10							WOS:000321134600005	
J	"Stewart, Benjamin P.; Nelson, Trisalyn A.; Laberee, Karen; Nielsen, Scott E.; Wulder, Michael A.; Stenhouse, Gordon"								Quantifying grizzly bear selection of natural and anthropogenic edges								JOURNAL OF WILDLIFE MANAGEMENT				77	5			957	964		10.1002/jwmg.535			Jul-13	2013										20							WOS:000320937000010	
J	"Jurand, Benjamin S.; Abella, Scott R."								Soil Seed Banks of the Exotic Annual Grass Bromus rubens on a Burned Desert Landscape								RANGELAND ECOLOGY & MANAGEMENT				66	2			157	163		10.2111/REM-D-12-00106.1			Mar-13	2013										5							WOS:000316643000006	
J	"Rolhauser, Andres G.; D'Antoni, Maria J.; Gabriel Gatica, M.; Pucheta, Eduardo"								Species-specific influences of shrubs on the non-dormant soil seed bank of native and exotic plant species in central-northern Monte Desert								AUSTRAL ECOLOGY				38	1			87	94		10.1111/j.1442-9993.2012.02378.x			Feb-13	2013										2							WOS:000313980500009	
J	"Belay, T. A.; Totland, O.; Moe, S. R."								"Woody vegetation dynamics in the rangelands of lower Omo region, southwestern Ethiopia"								JOURNAL OF ARID ENVIRONMENTS				89				94	102		10.1016/j.jaridenv.2012.10.006			Feb-13	2013										7							WOS:000312522000013	
J	"Mclaren, Brian E.; Gammond, Peter R.; Thompson, Ian D."								Characteristics of the boreal mixedwood forest associated with the use of subnivean access points by American martens								ECOSCIENCE				20	4			383	390		10.2980/20-4-3634			2013	2013										0							WOS:000336786100008	
J	"Garcia-Cervigon, Ana I.; Gazol, Antonio; Sanz, Virginia; Julio Camarero, J.; Miguel Olano, Jose"								Intraspecific competition replaces interspecific facilitation as abiotic stress decreases: The shifting nature of plant-plant interactions								PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS				15	4			226	236		10.1016/j.ppees.2013.04.001			2013	2013										29							WOS:000323297200004	
J	"Sun, Shoujia; Zhang, Hongmao"								"Cache sites preferred by small rodents facilitate cache survival in a subtropical primary forest, central China"								WILDLIFE RESEARCH				40	4			294	302		10.1071/WR13038			2013	2013										3							WOS:000320930900005	
J	"Nottebrock, Henning; Esler, Karen J.; Schurr, Frank M."								Effects of intraspecific and community density on the lifetime fecundity of long-lived shrubs								PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS				15	3			150	161		10.1016/j.ppees.2013.03.003			2013	2013										10							WOS:000320481800002	
J	"Liu, Ren Tao; Zhao, Ha Lin; Zhao, Xue Yong"								"Changes in soil macrofaunal community composition under selective afforestation in shifting sand lands in Horqin of Inner Mongolia, northern China"								ECOLOGICAL RESEARCH				28	1			1	8		10.1007/s11284-012-0982-0			Jan-13	2013										2							WOS:000313951000001	
J	"Mendoza-Hernandez, Pedro E.; Orozco-Segovia, Alma; Meave, Jorge A.; Valverde, Teresa; Martinez-Ramos, Miguel"								Vegetation recovery and plant facilitation in a human-disturbed lava field in a megacity: searching tools for ecosystem restoration								PLANT ECOLOGY				214	1			153	167		10.1007/s11258-012-0153-y			Jan-13	2013										7							WOS:000313413200013	
J	"Concilio, Amy L.; Loik, Michael E.; Belnap, Jayne"								Global change effects on Bromus tectorum L. (Poaceae) at its high-elevation range margin								GLOBAL CHANGE BIOLOGY				19	1			161	172		10.1111/gcb.12032			Jan-13	2013										30							WOS:000312155100013	
J	"Catorci, A.; Tardella, F. M.; Cesaretti, S.; Bertellotti, M.; Santolini, R."								"The interplay among grazing history, plant-plant spatial interactions and species traits affects vegetation recovery processes in Patagonian steppe"								COMMUNITY ECOLOGY				13	2			253	263		10.1556/ComEc.13.2012.2.16			Dec-12	2012										10							WOS:000311361200016	
J	"Gazol, Antonio; Julio Camarero, J."								The performance of Mediterranean subshrubs depends more on microsite than on regional climate conditions								JOURNAL OF VEGETATION SCIENCE				23	6			1062	1070		10.1111/j.1654-1103.2012.01429.x			Dec-12	2012										7							WOS:000310798600007	
J	"Belay, Tamrat A.; Moe, Stein R."								Woody dominance in a semi-arid savanna rangeland - Evidence for competitive self-thinning								ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY				45				98	105		10.1016/j.actao.2012.10.006			Nov-12	2012										5							WOS:000312514400012	
J	"Pillay, Tiffany; Ward, David"								Spatial pattern analysis and competition between Acacia karroo trees in humid savannas								PLANT ECOLOGY				213	10			1609	1619		10.1007/s11258-012-0115-4			Oct-12	2012										16							WOS:000309561400007	
J	"Gazol, Antonio; Tamme, Riin; Takkis, Krista; Kasari, Liis; Saar, Liina; Helm, Aveliina; Paertel, Meelis"								Landscape- and small-scale determinants of grassland species diversity: direct and indirect influences								ECOGRAPHY				35	10			944	951		10.1111/j.1600-0587.2012.07627.x			Oct-12	2012										26							WOS:000309062600009	
J	"Bustamante-Sanchez, Marcela A.; Armesto, Juan J."								"Seed limitation during early forest succession in a rural landscape on Chiloe Island, Chile: implications for temperate forest restoration"								JOURNAL OF APPLIED ECOLOGY				49	5			1103	1112		10.1111/j.1365-2664.2012.02179.x			Oct-12	2012										13							WOS:000308932600015	
J	"Davies, Kirk W.; Bates, Jonathan D.; Nafus, Aleta M."								Mowing Wyoming Big Sagebrush Communities With Degraded Herbaceous Understories: Has a Threshold Been Crossed?								RANGELAND ECOLOGY & MANAGEMENT				65	5			498	505		10.2111/REM-D-12-00026.1			Sep-12	2012										21							WOS:000309439300007	
J	"Segoli, Moran; Ungar, Eugene D.; Giladi, Itamar; Arnon, Amir; Shachak, Moshe"								Untangling the positive and negative effects of shrubs on herbaceous vegetation in drylands								LANDSCAPE ECOLOGY				27	6			899	910		10.1007/s10980-012-9736-1			Jul-12	2012										21							WOS:000305218000009	
J	"Woods, Teresa M.; Jonas, Jayne L.; Ferguson, Carolyn J."								The invasive Lespedeza cuneata attracts more insect pollinators than native congeners in tallgrass prairie with variable impacts								BIOLOGICAL INVASIONS				14	5			1045	1059		10.1007/s10530-011-0138-0			May-12	2012										9							WOS:000303017000011	
J	"Orrock, John L.; Christopher, Cory C.; Dutra, Humberto P."								"Seed bank survival of an invasive species, but not of two native species, declines with invasion"								OECOLOGIA				168	4			1103	1110		10.1007/s00442-011-2159-x			Apr-12	2012										13							WOS:000301604200020	
J	"Spiegel, Orr; Nathan, Ran"								Empirical evaluation of directed dispersal and density-dependent effects across successive recruitment phases								JOURNAL OF ECOLOGY				100	2			392	404		10.1111/j.1365-2745.2011.01886.x			Mar-12	2012										27							WOS:000300500800009	
J	"Tommervik, Hans; Bjerke, Jarle W.; Gaare, Eldar; Johansen, Bernt; Thannheiser, Dietbert"								Rapid recovery of recently overexploited winter grazing pastures for reindeer in northern Norway								FUNGAL ECOLOGY				5	1			3	15		10.1016/j.funeco.2011.08.002			Feb-12	2012						Scientific Sessions on Fungi and Global Change/IMC9 Conference	"AUG, 2010"		"Edinburgh, SCOTLAND"	14							WOS:000299915700002	
J	"Jalali, Gholam Ali; Akbarian, Hossein; Rhoades, Charles; Yousefzadeh, Hamed"								THE EFFECT OF THE HALOPHYTIC SHRUB LYCIUM RUTHENICUM (MUTT) ON SELECTED SOIL PROPERTIES OF A DESERT ECOSYSTEM IN CENTRAL IRAN								POLISH JOURNAL OF ECOLOGY				60	4			845	850					2012	2012										3							WOS:000312519300017	
J	"Segoli, Moran; Ungar, Eugene D.; Shachak, Moshe"								"Fine-Scale Spatial Heterogeneity of Resource Modulation in Semi-Arid ""Islands of Fertility"""								ARID LAND RESEARCH AND MANAGEMENT				26	4			344	354		10.1080/15324982.2012.694397			2012	2012										9							WOS:000308994400006	
J	"Martinez Salvador, Martin; Mata-Gonzalez, Ricardo; Morales Nieto, Carlos; Valdez-Cepeda, Ricardo"								Agave salmiana Plant Communities in Central Mexico as Affected by Commercial Use								ENVIRONMENTAL MANAGEMENT				49	1			55	63		10.1007/s00267-011-9759-4			Jan-12	2012										6							WOS:000301299800005	
J	"Raventos, Jose; Wiegand, Thorsten; Maestre, Fernando T.; de Luis, Martin"								A resprouter herb reduces negative density-dependent effects among neighboring seeders after fire								ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY				38				17	23		10.1016/j.actao.2011.08.004			Jan-12	2012										5							WOS:000299907300003	
J	"Bowker, M. A.; Munoz, A.; Martinez, T.; Lau, M. K."								Rare drought-induced mortality of juniper is enhanced by edaphic stressors and influenced by stand density								JOURNAL OF ARID ENVIRONMENTS				76				9	16		10.1016/j.jaridenv.2011.08.012			Jan-12	2012										16							WOS:000297139700002	
J	"Lasso, E.; Dalling, J. W.; Bermingham, E."								Strong spatial genetic structure in five tropical Piper species: should the Baker-Fedorov hypothesis be revived for tropical shrubs?								ECOLOGY AND EVOLUTION				1	4						10.1002/ece3.40			Dec-11	2011										12							WOS:000312441500006	
J	"Fowler, Norma L.; Best, Christopher F.; Price, Dana M.; Hempel, Alice L."								"ECOLOGICAL REQUIREMENTS OF THE ZAPATA BLADDERPOD PHYSARIA THAMNOPHILA, AN ENDANGERED TAMAULIPAN THORNSCRUB PLANT"								SOUTHWESTERN NATURALIST				56	3			341	352					Sep-11	2011										3							WOS:000295298200006	
J	"Ivan Badano, Ernesto; Ricardo Samour-Nieva, Omar; Flores, Joel"								Emulating nurse plants to restore oak forests								ECOLOGICAL ENGINEERING				37	8			1244	1248		10.1016/j.ecoleng.2011.02.017			Aug-11	2011										6							WOS:000292434400018	
J	"Pouliot, Remy; Rochefort, Line; Karofeld, Edgar; Mercier, Caroline"								Initiation of Sphagnum moss hummocks in bogs and the presence of vascular plants: Is there a link?								ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY				37	4			346	354		10.1016/j.actao.2011.04.001			JUL-AUG 2011	2011										29							WOS:000292356700007	
J	"Castro, Jorge; Allen, Craig D.; Molina-Morales, Mercedes; Maranon-Jimenez, Sara; Sanchez-Miranda, Angela; Zamora, Regino"								Salvage Logging Versus the Use of Burnt Wood as a Nurse Object to Promote Post-Fire Tree Seedling Establishment								RESTORATION ECOLOGY				19	4			537	544		10.1111/j.1526-100X.2009.00619.x			Jul-11	2011										59							WOS:000292205800014	
J	"Yang, Z. P.; Zhang, Q.; Wang, Y. L.; Zhang, J. J.; Chen, M. C."								"Spatial and temporal variability of soil properties under Caragana microphylla shrubs in the northwestern Shanxi Loess Plateau, China"								JOURNAL OF ARID ENVIRONMENTS				75	6			538	544		10.1016/j.jaridenv.2011.01.007			Jun-11	2011										19							WOS:000288890100005	
J	"Kambatuku, Jack R.; Cramer, Michael D.; Ward, David"								Intraspecific competition between shrubs in a semi-arid savanna								PLANT ECOLOGY				212	4			701	713		10.1007/s11258-010-9856-0			Apr-11	2011										6							WOS:000288557700016	
J	"Fajardo, Alex; McIntire, Eliot J. B."								Under strong niche overlap conspecifics do not compete but help each other to survive: facilitation at the intraspecific level								JOURNAL OF ECOLOGY				99	2			642	650		10.1111/j.1365-2745.2010.01771.x			Mar-11	2011										71							WOS:000287785300030	
J	"Valeix, Marion; Fritz, Herve; Sabatier, Rodolphe; Murindagomo, Felix; Cumming, David; Duncan, Patrick"								Elephant-induced structural changes in the vegetation and habitat selection by large herbivores in an African savanna								BIOLOGICAL CONSERVATION				144	2			902	912		10.1016/j.biocon.2010.10.029			Feb-11	2011										44							WOS:000287897100031	
J	"Schwinning, S.; Sandquist, D. R.; Miller, D. M.; Bedford, D. R.; Phillips, S. L.; Belnap, J."								"The influence of stream channels on distributions of Larrea tridentata and Ambrosia dumosa in the Mojave Desert, CA, USA: patterns, mechanisms and effects of stream redistribution"								ECOHYDROLOGY				4	1			12	25		10.1002/eco.116			Jan-11	2011										11							WOS:000287154500002	
J	"Galal, Tarek M."								"Size structure and dynamics of some woody perennials along elevation gradient in Wadi Gimal, Red Sea coast of Egypt"								FLORA				206	7			638	645		10.1016/j.flora.2010.11.010			2011	2011										10							WOS:000293315600004	
J	"Bustamante-Sanchez, Marcela A.; Armesto, Juan J.; Halpern, Charles B."								"Biotic and abiotic controls on tree colonization in three early successional communities of Chiloe Island, Chile"								JOURNAL OF ECOLOGY				99	1			288	299		10.1111/j.1365-2745.2010.01737.x			Jan-11	2011										12							WOS:000285301100029	
J	"Mysterud, Atle; Hessen, Dag O.; Mobaek, Ragnhild; Martinsen, Vegard; Mulder, Jan; Austrheim, Gunnar"								"Plant quality, seasonality and sheep grazing in an alpine ecosystem"								BASIC AND APPLIED ECOLOGY				12	3			195	206		10.1016/j.baae.2011.03.002			2011	2011										22							WOS:000291903600002	
J	"Yoshihara, Yu; Sasaki, Takehiro; Okuro, Toshiya; Undarmaa, Jamsran; Takeuchi, Kazuhiko"								Cross-spatial-scale patterns in the facilitative effect of shrubs and potential for restoration of desert steppe								ECOLOGICAL ENGINEERING				36	12			1719	1724		10.1016/j.ecoleng.2010.07.018			Dec-10	2010										13							WOS:000284384900015	
J	"Shrestha, Bharat Babu; Jha, Pramod Kumar"								Life History and Population Status of the Endemic Himalayan Aconitum naviculare								MOUNTAIN RESEARCH AND DEVELOPMENT				30	4			353	364		10.1659/MRD-JOURNAL-D-10-00003.1			Nov-10	2010										2							WOS:000284607100005	
J	"Cipriotti, P. A.; Aguiar, M. R."								Resource partitioning and interactions enable coexistence in a grass-shrub steppe								JOURNAL OF ARID ENVIRONMENTS				74	10			1111	1120		10.1016/j.jaridenv.2010.05.006			Oct-10	2010										11							WOS:000280976700001	
J	"Cushman, J. Hall; Waller, Jeffrey C.; Hoak, Derek R."								"Shrubs as ecosystem engineers in a coastal dune: influences on plant populations, communities and ecosystems"								JOURNAL OF VEGETATION SCIENCE				21	5			821	831		10.1111/j.1654-1103.2010.01196.x			Oct-10	2010										31							WOS:000281551000002	
J	"Sankey, Temuulen Tsagaan; Glenn, Nancy; Ehinger, Sara; Boehm, Alex; Hardegree, Stuart"								Characterizing Western Juniper Expansion via a Fusion of Landsat 5 Thematic Mapper and Lidar Data								RANGELAND ECOLOGY & MANAGEMENT				63	5			514	523		10.2111/REM-D-09-00181.1			Sep-10	2010										18							WOS:000282031300003	
J	"Plieninger, Tobias; Rolo, Victor; Moreno, Gerardo"								"Large-Scale Patterns of Quercus ilex, Quercus suber, and Quercus pyrenaica Regeneration in Central-Western Spain"								ECOSYSTEMS				13	5			644	660		10.1007/s10021-010-9345-2			Aug-10	2010										51							WOS:000280260100002	
J	"Raventos, Jose; Wiegand, Thorsten; De Luis, Martin"								Evidence for the spatial segregation hypothesis: a test with nine-year survivorship data in a Mediterranean shrubland								ECOLOGY				91	7			2110	2120		10.1890/09-0385.1			Jul-10	2010										61							WOS:000279563700029	
J	"Burnham, Katharine M.; Lee, Thomas D."								"Canopy gaps facilitate establishment, growth, and reproduction of invasive Frangula alnus in a Tsuga canadensis dominated forest"								BIOLOGICAL INVASIONS				12	6			1509	1520		10.1007/s10530-009-9563-8			Jun-10	2010										33							WOS:000277410800010	
J	"Sosa, Beatriz; Brazeiro, Alejandro"								Positive ecosystem engineering effects of the ant Atta vollenweideri on the shrub Grabowskia duplicata								JOURNAL OF VEGETATION SCIENCE				21	3			597	605		10.1111/j.1654-1103.2010.01170.x			Jun-10	2010										11							WOS:000276656500016	
J	"Vanhellemont, Margot; Wauters, Lotte; Baeten, Lander; Bijlsma, Rienk-Jan; De Frenne, Pieter; Hermy, Martin; Verheyen, Kris"								Prunus serotina unleashed: invader dominance after 70 years of forest development								BIOLOGICAL INVASIONS				12	5			1113	1124		10.1007/s10530-009-9529-x			May-10	2010										13							WOS:000276509400016	
J	"Kirkpatrick, Chris; Conway, Courtney J."								Importance of Montane Riparian Forest and Influence of Wildfire on Nest-Site Selection of Ground-Nesting Birds								JOURNAL OF WILDLIFE MANAGEMENT				74	4			729	738		10.2193/2008-567			May-10	2010										4							WOS:000277305800013	
J	"Aragon, Susan; Woodcock, Deborah W."								Plant Community Structure and Conservation of a Northern Peru Sclerophyllous Forest								BIOTROPICA				42	2			262	270		10.1111/j.1744-7429.2009.00578.x			Mar-10	2010										4							WOS:000275215700018	
J	"Chaneton, Enrique J.; Noemi Mazia, C.; Kitzberger, Thomas"								Facilitation vs. apparent competition: insect herbivory alters tree seedling recruitment under nurse shrubs in a steppe-woodland ecotone								JOURNAL OF ECOLOGY				98	2			488	497		10.1111/j.1365-2745.2009.01631.x			Mar-10	2010										27							WOS:000273950400024	
J	"Jordaan, J. J."								"The proposed colonisation sequence of woody species in the Sourish Mixed Bushveld of the Limpopo province, South Africa"								AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE				27	2			105	108	PII 925482705	10.2989/10220119.2010.502650			2010	2010										4							WOS:000280771900006	
J	"Griffith, Alden B."								Positive effects of native shrubs on Bromus tectorum demography								ECOLOGY				91	1			141	154		10.1890/08-1446.1			Jan-10	2010										42							WOS:000275458500018	
J	"Abdallah, Fathia; Chaieb, Mohamed"								Interactions of Acacia raddiana with herbaceous vegetation change with intensity of abiotic stress								FLORA				205	11			738	744		10.1016/j.flora.2010.04.009			2010	2010										4							WOS:000286360600004	
J	"Jeddi, K.; Chaieb, M."								SOIL PROPERTIES AND PLANT COMMUNITY IN DIFFERENT AGED PINUS HALEPENSIS MILL. PLANTATIONS IN ARID MEDITERRANEAN AREAS: THE CASE OF SOUTHERN TUNISIA								LAND DEGRADATION & DEVELOPMENT				21	1			32	39		10.1002/ldr.964			JAN-FEB 2010	2010										2							WOS:000274839200004	
J	"Watling, James I.; Orrock, John L."								Measuring edge contrast using biotic criteria helps define edge effects on the density of an invasive plant								LANDSCAPE ECOLOGY				25	1			69	78		10.1007/s10980-009-9416-y			Jan-10	2010										17							WOS:000273479100006	
J	"Stevens, Jens T.; Beckage, Brian"								Fire Effects on Demography of the Invasive Shrub Brazilian Pepper (Schinus terebinthifolius) in Florida Pine Savannas								NATURAL AREAS JOURNAL				30	1			53	63		10.3375/043.030.0106			Jan-10	2010										5							WOS:000274223600006	
J	"Gomez-Aparicio, Lorena"								The role of plant interactions in the restoration of degraded ecosystems: a meta-analysis across life-forms and ecosystems								JOURNAL OF ECOLOGY				97	6			1202	1214		10.1111/j.1365-2745.2009.01573.x			Nov-09	2009										177							WOS:000270787100010	
J	"Young, M. H.; Caldwell, T. G.; Meadows, D. G.; Fenstermaker, L. F."								"Variability of soil physical and hydraulic properties at the Mojave Global Change Facility, Nevada: Implications for water budget and evapotranspiration"								JOURNAL OF ARID ENVIRONMENTS				73	8			733	744		10.1016/j.jaridenv.2009.01.015			Aug-09	2009										16							WOS:000266896900006	
J	"Bullock, James M."								A long-term study of the roles of competition and facilitation in the establishment of an invasive pine following heathland fires								JOURNAL OF ECOLOGY				97	4			646	656		10.1111/j.1365-2745.2009.01502.x			Jul-09	2009										19							WOS:000267071500006	
J	"Tonra, Christopher M.; Johnson, Matthew D.; Heath, Sacha K.; Hauber, Mark E."								Does nesting habitat predict hatch synchrony between brood parasitic brown-headed cowbirds Molothrus ater and two host species?								ECOGRAPHY				32	3			497	503		10.1111/j.1600-0587.2008.05736.x			Jun-09	2009										2							WOS:000267659400015	
J	"Rodriguez-Buritica, Susana; Miriti, Maria N."								"Biting the hand that feeds: the invasive grass Schismus barbatus (Poaceae) is facilitated by, but reduces establishment of, the native shrub Ambrosia dumosa (Asteraceae)"								JOURNAL OF VEGETATION SCIENCE				20	2			241	250		10.1111/j.1654-1103.2009.05588.x			Apr-09	2009										11							WOS:000264568200006	
J	"Franzese, Jorgelina; Ghermandi, Luciana; Bran, Donaldo"								Post-fire shrub recruitment in a semi-arid grassland: the role of microsites								JOURNAL OF VEGETATION SCIENCE				20	2			251	259		10.1111/j.1654-1103.2009.05733.x			Apr-09	2009										17							WOS:000264568200007	
J	"Dacy, Emily C.; Fulbright, Timothy E."								Survival of Sprouting Shrubs Following Summer Fire: Effects of Morphological and Spatial Characteristics								RANGELAND ECOLOGY & MANAGEMENT				62	2			179	185		10.2111/08-125.1			Mar-09	2009										8							WOS:000264423800009	
J	"Hughes, Nicole M.; Johnson, Daniel M.; Akhalkatsi, Maia; Abdaladze, Otar"								"Characterizing Betula litwinowii Seeding Microsites at the Alpine-Treeline Ecotone, Central Greater Caucasus Mountains, Georgia"								ARCTIC ANTARCTIC AND ALPINE RESEARCH				41	1			112	118		10.1657/1938-4246(08-021)[HUGHES]2.0.CO;2			Feb-09	2009						2nd Sediment Budgets in Cold Environments Workshop	"SEP 15-19, 2007"		"Abisko, SWEDEN"	18							WOS:000263313000012	
J	"Li, Yunlin; Cui, Jianyuan; Zhang, Tonghui; Okuro, Toshiya; Drake, Sam"								"Effectiveness of sand-fixing measures on desert land restoration in Kerqin Sandy Land, northern China"								ECOLOGICAL ENGINEERING				35	1			118	127		10.1016/j.ecoleng.2008.09.013			JAN 8 2009	2009										48							WOS:000262812700012	
J	"Patthey, Patrick; Wirthner, Sven; Signorell, Natalina; Arlettaz, Raphael"								Impact of outdoor winter sports on the abundance of a key indicator species of alpine ecosystems								JOURNAL OF APPLIED ECOLOGY				45	6			1704	1711		10.1111/j.1365-2664.2008.01547.x			Dec-08	2008										59							WOS:000260257800018	
J	"Joubert, D. F.; Rothauge, A.; Smit, G. N."								"A conceptual model of vegetation dynamics in the semiarid Highland savanna of Namibia, with particular reference to bush thickening by Acacia mellifera"								JOURNAL OF ARID ENVIRONMENTS				72	12			2201	2210		10.1016/j.jaridenv.2008.07.004			Dec-08	2008										38							WOS:000260414100008	
J	"Goldenheim, William M.; Irving, Andrew D.; Bertness, Mark D."								Switching from negative to positive density-dependence among populations of a cobble beach plant								OECOLOGIA				158	3			473	483		10.1007/s00442-008-1157-0			Dec-08	2008										26							WOS:000260856300009	
J	"Molina-Montenegro, Marco A.; Badano, Ernesto I.; Cavieres, Lohengrin A."								Positive interactions among plant species for pollinator service: assessing the 'magnet species' concept with invasive species								OIKOS				117	12			1833	1839		10.1111/j.0030-1299.2008.16896.x			Dec-08	2008										53							WOS:000261793300010	
