Study.ID,rep,study.species,density.data,density.number,measure,facilitation.data,facilitation.measure,facilitation.conclusion,common.name.benefactor,latin.name.benefactor,protégé.taxa,protégé.common.name,protégé.latin.name,richness,diversity,N.sites,n.sites,lat,lng,macrohabitat,mesohabitat,function,hypothesis,notes
94,94.52,"shrub, legume",yes,25,individuals/plot,no,observation,yes,Lupin,Lupinus bogotensis ,plant,Common gorse ,Ulex europaeus ,3,2,1,52,4.384111,-74.166306,forest,shrub,facilitation,Shrubs species will act as nurse plants for other plant species,One study site but has over 50 plots in it. Does look at density but no facilitation data
95,95.01,"shrub, tree, grass",yes,1,transplants/plot,no,observation,yes,Western Snowberry,Symphoricarpos occidentalis ,plant,Brome,Bromus inermis ,2,2,1,480,50.433333,-104.666667,field,shrub,facilitation,Would grasses be more supressed by woody plants in a field environment,One study site withover 400 plots. Has density data that is useable
95,95.02,"shrub, tree, grass",yes,5,transplants/plot,no,observation,yes,Western Snowberry,Symphoricarpos occidentalis ,plant,Brome,Bromus inermis ,2,2,1,480,50.433333,-104.666667,field,shrub,facilitation,Would grasses be more supressed by woody plants in a field environment,One study site withover 400 plots. Has density data that is useable
96,96.01,shrub,yes,0.3,average individuals/m^2,no,observation,yes,Eastern Baccharis,Baccharis prunifolia ,plant,Brome,Bromus carinatus ,11.3,,2,4,8.684436,-70.93242,moutain,shrub/open,microhabitat,Will plant-plantinteractions and facilitation play a large role in vegetation dynamics after disturbance,Sudy has 2 sites with 4 subsites in each. No diversity measurment but richness was measured
96,96.02,shrub,yes,0.5,average individuals/m^2,no,observation,yes,Eastern Baccharis,Baccharis prunifolia ,plant,Brome,Bromus carinatus ,11.3,,2,4,8.684436,-70.93242,moutain,shrub/open,microhabitat,Will plant-plantinteractions and facilitation play a large role in vegetation dynamics after disturbance,Sudy has 2 sites with 4 subsites in each. No diversity measurment but richness was measured
96,96.03,shrub,yes,0.5,average individuals/m^2,no,observation,yes,Eastern Baccharis,Baccharis prunifolia ,plant,Brome,Bromus carinatus ,11.3,,2,4,8.684436,-70.93242,moutain,shrub/open,microhabitat,Will plant-plantinteractions and facilitation play a large role in vegetation dynamics after disturbance,Sudy has 2 sites with 4 subsites in each. No diversity measurment but richness was measured
96,96.04,shrub,yes,0.5,average individuals/m^2,no,observation,yes,Eastern Baccharis,Baccharis prunifolia ,plant,Brome,Bromus carinatus ,11.3,,2,4,8.684436,-70.93242,moutain,shrub/open,microhabitat,Will plant-plantinteractions and facilitation play a large role in vegetation dynamics after disturbance,Sudy has 2 sites with 4 subsites in each. No diversity measurment but richness was measured
96,96.05,shrub,yes,0.1,average individuals/m^2,no,observation,yes,Eastern Baccharis,Baccharis prunifolia ,plant,Brome,Bromus carinatus ,11.3,,2,4,8.684436,-70.93242,moutain,shrub/open,microhabitat,Will plant-plantinteractions and facilitation play a large role in vegetation dynamics after disturbance,Sudy has 2 sites with 4 subsites in each. No diversity measurment but richness was measured
96,96.06,shrub,yes,0.1,average individuals/m^2,no,observation,yes,Eastern Baccharis,Baccharis prunifolia ,plant,Brome,Bromus carinatus ,11.3,,2,4,8.684436,-70.93242,moutain,shrub/open,microhabitat,Will plant-plantinteractions and facilitation play a large role in vegetation dynamics after disturbance,Sudy has 2 sites with 4 subsites in each. No diversity measurment but richness was measured
96,96.07,shrub,yes,0.2,average individuals/m^2,no,observation,yes,Eastern Baccharis,Baccharis prunifolia ,plant,Brome,Bromus carinatus ,11.3,,2,4,8.684436,-70.93242,moutain,shrub/open,microhabitat,Will plant-plantinteractions and facilitation play a large role in vegetation dynamics after disturbance,Sudy has 2 sites with 4 subsites in each. No diversity measurment but richness was measured
99,99.01,"shrub, tree",no,,,no,count under canopy,yes,Empetraceae,Empetrum rubrum ,plant,Nothofagus,Nothofagus antarctica ,5,4,1,20,-54.058186,-68.449409,glacier,shrub/open,facilitation,E. rubrum cover facilitates establishment of N. antarctica on the glacial moraine ,No measurment for density but it is noted several times. Study located on a Glacier?
106,106.01,"shrub, tree",yes,183,shrubs/ha,no,observation,yes,Rushfoil,Croton spp ,plant,Roble,Tabebuia billbergii ,3,9,1,1,-3.49127,-79.882481,tropical,dry forest,assembly,Facilitative interactions would be prevalent in this dry forest ,Has no density data but does talk a lot about density in the paper as well as facilitation
112,112.01,"shrub, annual",no,,,no,observation,yes,Creosote Bush,Larrea tridentata ,plant,Fremont's pincushion,Chaenactis fremontii ,2,5,1,4,34.911595,-115.731753,desert,shrub/open,germination,Benefeactors influence germination of desert annuals,Double check both N.sites and n.sites with chris
115,115.01,"shrub, arthropod",yes,2500,no/ha^2,no,"observation, count",yes,Caragana,Caragana korshinskii ,animal,Woodlice,Oniscus asellus,,,3,4,38.166667,107.683333,grassland,shrub,facilitation,There will be a difference in arthropod activity between shrub size and densities,Mentions richness and diversity but does not have a measure for them.
115,115.02,"shrub, arthropod",yes,2000,no/ha^2,no,"observation, count",yes,Caragana,Caragana korshinskii ,animal,Woodlice,Oniscus asellus,,,3,4,38.166667,107.683333,grassland,shrub,facilitation,There will be a difference in arthropod activity between shrub size and densities,Mentions richness and diversity but does not have a measure for them.
115,115.03,"shrub, arthropod",yes,5000,no/ha^2,no,"observation, count",yes,Caragana,Caragana korshinskii ,animal,Woodlice,Oniscus asellus,,,3,4,38.166667,107.683333,grassland,shrub,facilitation,There will be a difference in arthropod activity between shrub size and densities,Mentions richness and diversity but does not have a measure for them.
115,115.04,"shrub, arthropod",yes,1667,no/ha^2,no,"observation, count",yes,Caragana,Caragana korshinskii ,animal,Woodlice,Oniscus asellus,,,3,4,38.166667,107.683333,grassland,shrub,facilitation,There will be a difference in arthropod activity between shrub size and densities,Mentions richness and diversity but does not have a measure for them.
131,131.01,shrub,yes,2,individuals/m^2,no,observation,yes,Juniper,Juniperus sabina ,plant,Juniper,Juniperus sabina ,,,2,80,40.116667,-1.016667,mountain,shrub,competition,As abiotic stresses decrease intraspecific competition should replace interspecific competition,does not have data for density but mentions it significantly. Richness mentioned but no numbers or figures. Diversity no data. 2 main sites with 80 measures at each site
131,131.02,shrub,yes,0.4,individuals/m^2,no,observation,yes,Juniper,Juniperus sabina ,plant,Juniper,Juniperus sabina ,,,2,80,40.116667,-1.016667,mountain,shrub,competition,As abiotic stresses decrease intraspecific competition should replace interspecific competition,does not have data for density but mentions it significantly. Richness mentioned but no numbers or figures. Diversity no data. 2 main sites with 80 measures at each site
149,149.01,"shrub, tree, plant",no,,,no,"observation, planting",yes,,,,,,,,2,6,-35.017584,137.694772,agricultural,shrub,restoration,Possible adaptive planning for climate change in southern australia,Paper doesn’t mention any specific species name (latin or common). Now that ive read it again this paper seems strange.
151,151.01,"shrub, annual",yes,0.6,no/m^2,no,observation,yes,Wyoming big sagebrush,Artemisia tridentata,plant,Cheatgrass,Bromus tectorum L ,,,5,2,43.858,-119.802,desert,shrub canopy,conservation,Threashold of mowing with degraded herbacious understories,Paper has density data for target species.
151,151.02,"shrub, annual",yes,0.8,no/m^2,no,observation,yes,Wyoming big sagebrush,Artemisia tridentata,plant,Cheatgrass,Bromus tectorum L ,,,5,2,43.858,-119.802,desert,shrub canopy,conservation,Threashold of mowing with degraded herbacious understories,Paper has density data for target species.
151,151.03,"shrub, annual",yes,0.6,no/m^2,no,observation,yes,Wyoming big sagebrush,Artemisia tridentata,plant,Cheatgrass,Bromus tectorum L ,,,5,2,43.858,-119.802,desert,shrub canopy,conservation,Threashold of mowing with degraded herbacious understories,Paper has density data for target species.
151,151.04,"shrub, annual",yes,1,no/m^2,no,observation,yes,Wyoming big sagebrush,Artemisia tridentata,plant,Cheatgrass,Bromus tectorum L ,,,5,2,43.858,-119.802,desert,shrub canopy,conservation,Threashold of mowing with degraded herbacious understories,Paper has density data for target species.
151,151.05,"shrub, annual",yes,0.5,no/m^2,no,observation,yes,Wyoming big sagebrush,Artemisia tridentata,plant,Cheatgrass,Bromus tectorum L ,,,5,2,43.858,-119.802,desert,shrub canopy,conservation,Threashold of mowing with degraded herbacious understories,Paper has density data for target species.
151,151.6,"shrub, annual",yes,0.7,no/m^2,no,observation,yes,Wyoming big sagebrush,Artemisia tridentata,plant,Cheatgrass,Bromus tectorum L ,,,5,2,43.858,-119.802,desert,shrub canopy,conservation,Threashold of mowing with degraded herbacious understories,Paper has density data for target species.
153,153.01,"shrub, tree",yes,422,mean shrubs/ha,no,"observation, count",yes,Retema,Retama sphaerocarpa ,plant,Holly Oak,Quercus ilex,,,29,1,40.594,-4.188311,shrubland,shrub,recovery,How does facilitation by shrubs determine the direction of secondary succession,Mions density but for some reason no data? 29 major sites with 1 microsite in each?
155,155.01,"shrub, tree",yes,0.15,individuals/m^2,no,"observation, measure",yes,Common Box,Buxus sempervirens ,plant,European Silver Fir,Abies alba ,2,2,1,49,42.650118,0.016871,forest,shrub,recovery,Examination of density-dependent process during recolonization,Has density data but is just a final number. One study site with 49 plots in it.
155,155.02,"shrub, tree",yes,0.11,individuals/m^2,no,"observation, measure",yes,Common Box,Buxus sempervirens ,plant,European Silver Fir,Abies alba ,2,2,1,49,42.650118,0.016871,forest,shrub,recovery,Examination of density-dependent process during recolonization,Has density data but is just a final number. One study site with 49 plots in it.
169,169.01,"shrub, animal",yes,1,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.02,"shrub, animal",yes,5,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.03,"shrub, animal",yes,20,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.04,"shrub, animal",yes,4,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.05,"shrub, animal",yes,0.5,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.06,"shrub, animal",yes,2,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.07,"shrub, animal",yes,2,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.08,"shrub, animal",yes,0.5,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.09,"shrub, animal",yes,1,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.10,"shrub, animal",yes,3,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.11,"shrub, animal",yes,3,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.12,"shrub, animal",yes,1,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.13,"shrub, animal",yes,1,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.14,"shrub, animal",yes,3,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.15,"shrub, animal",yes,20,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
169,169.16,"shrub, animal",yes,5,no/25m^2,no,"observation, measure",yes,Solanaceae,Grabowskia duplicata ,animal,Chaco Leafcutter Ant,Atta vollenweideri ,,,3,9,-32.52,-58.02,savanna,shrub/mound,positive interaction,Does the ant Atta vollenweideri indirectly affect the shrub Grabowskia duplicata? ,3 types of ant nests with 9 replicates
184,184.01,"shrub, plant",yes,3.3,no/10m^2,no,observation,yes,Heath,Epacris gunnii ,plant,Juniper Haircap,Polytrichum juniperum ,2,2,2,4,-36.003771,148.003491,tundra,shrub,facilitation,Recreational trails will have a negative impact on Epacris gunnii's ability to facilitate other species,Looked at 2 separate mountains and established 4 microsites at each.
184,184.02,"shrub, plant",yes,4.7,no/10m^2,no,observation,yes,Heath,Epacris gunnii ,plant,Juniper Haircap,Polytrichum juniperum ,2,2,2,4,-36.003771,148.003491,tundra,shrub,facilitation,Recreational trails will have a negative impact on Epacris gunnii's ability to facilitate other species,Looked at 2 separate mountains and established 4 microsites at each.
184,184.03,"shrub, plant",yes,0.7,no/10m^2,no,observation,yes,Heath,Epacris gunnii ,plant,Juniper Haircap,Polytrichum juniperum ,2,2,2,4,-36.003771,148.003491,tundra,shrub,facilitation,Recreational trails will have a negative impact on Epacris gunnii's ability to facilitate other species,Looked at 2 separate mountains and established 4 microsites at each.
184,184.04,"shrub, plant",yes,2.7,no/10m^2,no,observation,yes,Heath,Epacris gunnii ,plant,Juniper Haircap,Polytrichum juniperum ,2,2,2,4,-36.003771,148.003491,tundra,shrub,facilitation,Recreational trails will have a negative impact on Epacris gunnii's ability to facilitate other species,Looked at 2 separate mountains and established 4 microsites at each.
186,186.01,"shrub, tree, plant",no,,,no,count,yes,Albizia,Albizia gummifera ,plant,Mutundu,Neoboutonia macrocalyx,2.6,,2,20/14,-0.611148,35.740409,forest,shrub,restoration,"How is the species richness of tree, shrubs and plant species affected by degraded forests",Paper looks more at tree species than shrub species. Also does not include the shrubs density but does have a count of number of shrubs? Kinda strange.
193,193.01,"shrub, annual",yes,5,seedling/m^2,no,"observation, measure",yes,Blackbush,Coleogyne ramosissima,animal,Long-tailed Pocket Mouse,Chaetodipus formosus ,3,5,3,3,36.421541,-115.45744,desert,shrub cover,microhabitat,Shrubs can either facilitate or inhibit the growth of shrub seedlings near them,Paper considers density while looking at interctions under the shrub canopy with other shrub individiauls
193,193.02,"shrub, annual",yes,0.25,seedling/m^2,no,"observation, measure",yes,Blackbush,Coleogyne ramosissima,animal,Long-tailed Pocket Mouse,Chaetodipus formosus ,3,5,3,3,36.421541,-115.45744,desert,shrub cover,microhabitat,Shrubs can either facilitate or inhibit the growth of shrub seedlings near them,Paper considers density while looking at interctions under the shrub canopy with other shrub individiauls
193,193.03,"shrub, annual",yes,7.75,seedling/m^2,no,"observation, measure",yes,Blackbush,Coleogyne ramosissima,animal,Long-tailed Pocket Mouse,Chaetodipus formosus ,3,5,3,3,36.421541,-115.45744,desert,shrub cover,microhabitat,Shrubs can either facilitate or inhibit the growth of shrub seedlings near them,Paper considers density while looking at interctions under the shrub canopy with other shrub individiauls
193,193.04,"shrub, annual",yes,1,seedling/m^2,no,"observation, measure",yes,Blackbush,Coleogyne ramosissima,animal,Long-tailed Pocket Mouse,Chaetodipus formosus ,3,5,3,3,36.421541,-115.45744,desert,shrub cover,microhabitat,Shrubs can either facilitate or inhibit the growth of shrub seedlings near them,Paper considers density while looking at interctions under the shrub canopy with other shrub individiauls
193,193.05,"shrub, annual",yes,1,seedling/m^2,no,"observation, measure",yes,Blackbush,Coleogyne ramosissima,animal,Long-tailed Pocket Mouse,Chaetodipus formosus ,3,5,3,3,36.421541,-115.45744,desert,shrub cover,microhabitat,Shrubs can either facilitate or inhibit the growth of shrub seedlings near them,Paper considers density while looking at interctions under the shrub canopy with other shrub individiauls
193,193.06,"shrub, annual",yes,0.5,seedling/m^2,no,"observation, measure",yes,Blackbush,Coleogyne ramosissima,animal,Long-tailed Pocket Mouse,Chaetodipus formosus ,3,5,3,3,36.421541,-115.45744,desert,shrub cover,microhabitat,Shrubs can either facilitate or inhibit the growth of shrub seedlings near them,Paper considers density while looking at interctions under the shrub canopy with other shrub individiauls
193,193.07,"shrub, annual",yes,3,seedling/m^2,no,"observation, measure",yes,Blackbush,Coleogyne ramosissima,animal,Long-tailed Pocket Mouse,Chaetodipus formosus ,3,5,3,3,36.421541,-115.45744,desert,shrub cover,microhabitat,Shrubs can either facilitate or inhibit the growth of shrub seedlings near them,Paper considers density while looking at interctions under the shrub canopy with other shrub individiauls
193,193.08,"shrub, annual",yes,1,seedling/m^2,no,"observation, measure",yes,Blackbush,Coleogyne ramosissima,animal,Long-tailed Pocket Mouse,Chaetodipus formosus ,3,5,3,3,36.421541,-115.45744,desert,shrub cover,microhabitat,Shrubs can either facilitate or inhibit the growth of shrub seedlings near them,Paper considers density while looking at interctions under the shrub canopy with other shrub individiauls
211,211.01,"shrub, plant",yes,0,no/m^2,no,transect,variable,Reaumuria soongorica ,Reaumuria soongorica ,plant,Mugwort,Artemisia capillaris ,,,18,4,36.216667,103.783333,desert,shrub,facilitation,Shrub will have an impact on the germination of other shrub seedlings,Paper is decent and has data that could be used for the meta
211,211.02,"shrub, plant",yes,0.2,no/m^2,no,transect,variable,Reaumuria soongorica ,Reaumuria soongorica ,plant,Mugwort,Artemisia capillaris ,,,18,4,36.216667,103.783333,desert,shrub,facilitation,Shrub will have an impact on the germination of other shrub seedlings,Paper is decent and has data that could be used for the meta
211,211.03,"shrub, plant",yes,0.1,no/m^2,no,transect,variable,Reaumuria soongorica ,Reaumuria soongorica ,plant,Mugwort,Artemisia capillaris ,,,18,4,36.216667,103.783333,desert,shrub,facilitation,Shrub will have an impact on the germination of other shrub seedlings,Paper is decent and has data that could be used for the meta
211,211.04,"shrub, plant",yes,0.5,no/m^2,no,transect,variable,Reaumuria soongorica ,Reaumuria soongorica ,plant,Mugwort,Artemisia capillaris ,,,18,4,36.216667,103.783333,desert,shrub,facilitation,Shrub will have an impact on the germination of other shrub seedlings,Paper is decent and has data that could be used for the meta
217,217.01,"shrub, plant",yes,2.8,no/quadrat,no,"observation, measure",yes,Adesmia bedwellii ,Adesmia bedwellii ,plant,Daisy,Moscharia pinnatifida ,,,3,4 to 9,-30.651493,-71.68586,semi-arid,shrub/open,interaction,Nurse plants enhance fitness or productivity of beneficiary plants in their vicinity through direct and indirect mechanisms of interaction,Paper has data for density and is appropriate for study.
217,217.02,"shrub, plant",yes,2,no/quadrat,no,"observation, measure",yes,Adesmia bedwellii ,Adesmia bedwellii ,plant,Daisy,Moscharia pinnatifida ,,,3,4 to 9,-30.651493,-71.68586,semi-arid,shrub/open,interaction,Nurse plants enhance fitness or productivity of beneficiary plants in their vicinity through direct and indirect mechanisms of interaction,Paper has data for density and is appropriate for study.
217,217.03,"shrub, plant",yes,1.6,no/quadrat,no,"observation, measure",yes,Adesmia bedwellii ,Adesmia bedwellii ,plant,Daisy,Moscharia pinnatifida ,,,3,4 to 9,-30.651493,-71.68586,semi-arid,shrub/open,interaction,Nurse plants enhance fitness or productivity of beneficiary plants in their vicinity through direct and indirect mechanisms of interaction,Paper has data for density and is appropriate for study.
217,217.04,"shrub, plant",yes,1.1,no/quadrat,no,"observation, measure",yes,Adesmia bedwellii ,Adesmia bedwellii ,plant,Daisy,Moscharia pinnatifida ,,,3,4 to 9,-30.651493,-71.68586,semi-arid,shrub/open,interaction,Nurse plants enhance fitness or productivity of beneficiary plants in their vicinity through direct and indirect mechanisms of interaction,Paper has data for density and is appropriate for study.
217,217.05,"shrub, plant",yes,2.8,no/quadrat,no,"observation, measure",yes,Porlieria,Porlieria chilensis ,plant,Daisy,Moscharia pinnatifida ,,,3,4 to 9,-30.651493,-71.68586,semi-arid,shrub/open,interaction,Nurse plants enhance fitness or productivity of beneficiary plants in their vicinity through direct and indirect mechanisms of interaction,Paper has data for density and is appropriate for study.
217,217.06,"shrub, plant",yes,2.5,no/quadrat,no,"observation, measure",yes,Porlieria,Porlieria chilensis ,plant,Daisy,Moscharia pinnatifida ,,,3,4 to 9,-30.651493,-71.68586,semi-arid,shrub/open,interaction,Nurse plants enhance fitness or productivity of beneficiary plants in their vicinity through direct and indirect mechanisms of interaction,Paper has data for density and is appropriate for study.
217,217.07,"shrub, plant",yes,2.4,no/quadrat,no,"observation, measure",yes,Porlieria,Porlieria chilensis ,plant,Daisy,Moscharia pinnatifida ,,,3,4 to 9,-30.651493,-71.68586,semi-arid,shrub/open,interaction,Nurse plants enhance fitness or productivity of beneficiary plants in their vicinity through direct and indirect mechanisms of interaction,Paper has data for density and is appropriate for study.
217,217.08,"shrub, plant",yes,2,no/quadrat,no,"observation, measure",yes,Porlieria,Porlieria chilensis ,plant,Daisy,Moscharia pinnatifida ,,,3,4 to 9,-30.651493,-71.68586,semi-arid,shrub/open,interaction,Nurse plants enhance fitness or productivity of beneficiary plants in their vicinity through direct and indirect mechanisms of interaction,Paper has data for density and is appropriate for study.
217,217.09,"shrub, plant",yes,2.8,no/quadrat,no,"observation, measure",yes,Proustia,Proustia cuneifolia ,plant,Daisy,Moscharia pinnatifida ,,,3,4 to 9,-30.651493,-71.68586,semi-arid,shrub/open,interaction,Nurse plants enhance fitness or productivity of beneficiary plants in their vicinity through direct and indirect mechanisms of interaction,Paper has data for density and is appropriate for study.
217,218.10,"shrub, plant",yes,2.7,no/quadrat,no,"observation, measure",yes,Proustia,Proustia cuneifolia ,plant,Daisy,Moscharia pinnatifida ,,,3,4 to 9,-30.651493,-71.68586,semi-arid,shrub/open,interaction,Nurse plants enhance fitness or productivity of beneficiary plants in their vicinity through direct and indirect mechanisms of interaction,Paper has data for density and is appropriate for study.
217,218.11,"shrub, plant",yes,2.5,no/quadrat,no,"observation, measure",yes,Proustia,Proustia cuneifolia ,plant,Daisy,Moscharia pinnatifida ,,,3,4 to 9,-30.651493,-71.68586,semi-arid,shrub/open,interaction,Nurse plants enhance fitness or productivity of beneficiary plants in their vicinity through direct and indirect mechanisms of interaction,Paper has data for density and is appropriate for study.
217,218.12,"shrub, plant",yes,2.4,no/quadrat,no,"observation, measure",yes,Proustia,Proustia cuneifolia ,plant,Daisy,Moscharia pinnatifida ,,,3,4 to 9,-30.651493,-71.68586,semi-arid,shrub/open,interaction,Nurse plants enhance fitness or productivity of beneficiary plants in their vicinity through direct and indirect mechanisms of interaction,Paper has data for density and is appropriate for study.
233,233.01,"shrub, plant",yes,0.9,no/site,no,"observation, measure",yes,Desert Hackberry,Celtis pallida ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.60,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.02,"shrub, plant",yes,0.7,no/site,no,"observation, measure",yes,Desert Hackberry,Celtis pallida ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.03,"shrub, plant",yes,0.7,no/site,no,"observation, measure",yes,Desert Hackberry,Celtis pallida ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.04,"shrub, plant",yes,0.7,no/site,no,"observation, measure",yes,Desert Hackberry,Celtis pallida ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.05,"shrub, plant",yes,0.3,no/site,no,"observation, measure",yes,Desert Hackberry,Celtis pallida ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.06,"shrub, plant",yes,0.3,no/site,no,"observation, measure",yes,Desert Hackberry,Celtis pallida ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.07,"shrub, plant",yes,0.3,no/site,no,"observation, measure",yes,Desert Hackberry,Celtis pallida ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.08,"shrub, plant",yes,0.4,no/site,no,"observation, measure",yes,Desert Hackberry,Celtis pallida ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
